Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20150221;2015-02-21;Bastia;Lille;2;1;H;2.8;3;2.75
F1;20150221;2015-02-21;Caen;Lens;4;1;H;2;3.4;3.9
F1;20150221;2015-02-21;Paris SG;Toulouse;3;1;H;1.25;6;12
F1;20150221;2015-02-21;Rennes;Bordeaux;1;1;D;2.4;3.1;3.2
F1;20150222;2015-02-22;Guingamp;Montpellier;0;2;A;2.25;3.2;3.4
F1;20150222;2015-02-22;Lyon;Nantes;1;0;H;1.57;3.8;6.5
F1;20150222;2015-02-22;Reims;Metz;0;0;D;2.15;3.1;3.8
F1;20150222;2015-02-22;St Etienne;Marseille;2;2;D;2.55;3.2;2.9
F1;20150227;2015-02-27;Marseille;Caen;2;3;A;1.44;4.5;7.5
F1;20150228;2015-02-28;Bordeaux;Reims;1;1;D;1.7;3.6;5.5
F1;20150228;2015-02-28;Lens;Rennes;0;1;A;2.3;3.2;3.3
F1;20150228;2015-02-28;Lille;Lyon;2;1;H;2.8;3.1;2.7
F1;20150228;2015-02-28;Lorient;Bastia;2;0;H;1.95;3.3;4.33
F1;20150228;2015-02-28;Metz;Evian Thonon Gaillard;1;2;A;2.15;3.25;3.6
F1;20150228;2015-02-28;Toulouse;St Etienne;1;1;D;2.88;3.1;2.63
F1;20150301;2015-03-01;Monaco;Paris SG;0;0;D;3.25;3.1;2.38
F1;20150301;2015-03-01;Montpellier;Nice;2;1;H;2.1;3.2;3.8
F1;20150301;2015-03-01;Nantes;Guingamp;1;0;H;2.2;3.1;3.6
F1;20150304;2015-03-04;Evian Thonon Gaillard;Lorient;1;0;H;2.63;3.25;2.75
F1;20150306;2015-03-06;Toulouse;Marseille;1;6;A;3.1;3.2;2.4
F1;20150307;2015-03-07;Bastia;Nice;2;1;H;2.3;3.1;3.4
F1;20150307;2015-03-07;Caen;Bordeaux;1;2;A;2.7;3;2.88
F1;20150307;2015-03-07;Evian Thonon Gaillard;Monaco;1;3;A;4.2;3.1;2.05
F1;20150307;2015-03-07;Paris SG;Lens;4;1;H;1.2;6.25;15
F1;20150307;2015-03-07;Reims;Nantes;3;1;H;2.5;3.1;3.1
F1;20150307;2015-03-07;Rennes;Metz;1;0;H;1.85;3.4;4.75
F1;20150308;2015-03-08;Guingamp;Lille;0;1;A;2.63;3.1;2.88
F1;20150308;2015-03-08;Montpellier;Lyon;1;5;A;2.9;3.1;2.5
F1;20150308;2015-03-08;St Etienne;Lorient;2;0;H;1.65;3.6;6
F1;20150313;2015-03-13;Monaco;Bastia;3;0;H;1.57;3.7;7
F1;20150313;2015-03-13;Nice;Guingamp;1;2;A;2.4;3;3.3
F1;20150314;2015-03-14;Lens;Toulouse;1;0;H;2.5;3.1;3.1
F1;20150314;2015-03-14;Lorient;Caen;2;1;H;1.91;3.5;4.2
F1;20150314;2015-03-14;Metz;St Etienne;2;3;A;3.8;3.2;2.1
F1;20150314;2015-03-14;Montpellier;Reims;3;1;H;1.85;3.3;4.75
F1;20150314;2015-03-14;Nantes;Evian Thonon Gaillard;2;1;H;2;3.2;4.2
F1;20150315;2015-03-15;Bordeaux;Paris SG;3;2;H;4.2;3.4;1.95
F1;20150315;2015-03-15;Lille;Rennes;3;0;H;1.91;3.2;4.75
F1;20150315;2015-03-15;Marseille;Lyon;0;0;D;2.05;3.3;3.8
F1;20150320;2015-03-20;Paris SG;Lorient;3;1;H;1.25;6;12
F1;20150321;2015-03-21;Bastia;Guingamp;0;0;D;2.9;3.1;2.6
F1;20150321;2015-03-21;Caen;Metz;0;0;D;1.91;3.5;4.2
F1;20150321;2015-03-21;Evian Thonon Gaillard;Montpellier;1;0;H;3;3.1;2.55
F1;20150321;2015-03-21;Lyon;Nice;1;2;A;1.53;4;7
F1;20150321;2015-03-21;Rennes;Nantes;0;0;D;2.2;3.25;3.5
F1;20150321;2015-03-21;Toulouse;Bordeaux;2;1;H;2.6;3;3
F1;20150322;2015-03-22;Lens;Marseille;0;4;A;4.5;3.6;1.8
F1;20150322;2015-03-22;Reims;Monaco;1;3;A;4.5;3.3;1.91
F1;20150322;2015-03-22;St Etienne;Lille;2;0;H;2;3.2;4.2
F1;20150403;2015-04-03;Monaco;St Etienne;1;1;D;1.91;3.2;4.75
F1;20150404;2015-04-04;Guingamp;Lyon;1;3;A;3.6;3.25;2.15
F1;20150404;2015-04-04;Lille;Reims;3;1;H;1.67;3.5;6
F1;20150404;2015-04-04;Lorient;Rennes;0;3;A;2.05;3.3;3.8
F1;20150404;2015-04-04;Metz;Toulouse;3;2;H;2.8;3.1;2.7
F1;20150404;2015-04-04;Montpellier;Bastia;3;1;H;1.85;3.5;4.5
F1;20150404;2015-04-04;Nice;Evian Thonon Gaillard;2;2;D;1.95;3.25;4.33
F1;20150405;2015-04-05;Bordeaux;Lens;2;1;H;1.62;3.8;6
F1;20150405;2015-04-05;Marseille;Paris SG;2;3;A;3.1;3.25;2.38
F1;20150405;2015-04-05;Nantes;Caen;1;2;A;2.2;3.2;3.5
F1;20150407;2015-04-07;Monaco;Montpellier;0;0;D;1.73;3.5;5.5
F1;20150410;2015-04-10;Caen;Monaco;0;3;A;3.3;3.3;2.25
F1;20150412;2015-04-12;Bordeaux;Marseille;1;0;H;2.6;3.3;2.75
F1;20150412;2015-04-12;Evian Thonon Gaillard;Lille;0;1;A;3.25;3.1;2.4
F1;20150412;2015-04-12;Lens;Lorient;0;0;D;2.7;3.2;2.75
F1;20150412;2015-04-12;Reims;Nice;0;1;A;2.3;3.2;3.3
F1;20150412;2015-04-12;Rennes;Guingamp;1;0;H;2.2;3.1;3.6
F1;20150412;2015-04-12;St Etienne;Nantes;1;0;H;1.62;3.6;6.5
F1;20150412;2015-04-12;Toulouse;Montpellier;1;0;H;2.38;3.3;3.1
F1;20150415;2015-04-15;Lyon;Bastia;2;0;H;1.4;4.5;8
F1;20150417;2015-04-17;Nantes;Marseille;1;0;H;4.2;3.3;1.95
F1;20150418;2015-04-18;Bastia;Reims;1;2;A;2.15;3.25;3.6
F1;20150418;2015-04-18;Guingamp;Evian Thonon Gaillard;1;1;D;1.95;3.3;4.33
F1;20150418;2015-04-18;Lorient;Toulouse;0;1;A;2.15;3.25;3.6
F1;20150418;2015-04-18;Metz;Lens;3;1;H;2.2;3.3;3.4
F1;20150418;2015-04-18;Monaco;Rennes;1;1;D;1.67;3.6;6
