DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ
20230929,2324,Strasbourg,94.3554401735571,1.0214285714285714,7,2.992857142857143,0.0,0.9200002,0.8166670000000001,1.2250005000000002,1.2250005000000002,0.0,3.5,1.2788990825688074
20230924,2324,Strasbourg,94.47054505178257,1.1916666666666667,6,2.908333333333333,0.0,0.9400002,0.7166669999999999,5.000000000165983e-07,1.2250005000000002,2.45,2.45,1.526916802610114
20230917,2324,Strasbourg,94.55135545886161,0.9399999999999998,5,3.0,0.0,0.0,0.7166669999999999,1.0750004999999998,5.000000000165983e-07,0.0,2.3,1.606153846153846
20230903,2324,Strasbourg,94.54602772255299,1.1749999999999998,4,3.175,0.0,0.0,1.5666669999999998,1.0750004999999998,1.0750004999999998,0.0,4.0,1.2356746765249538
20230827,2324,Strasbourg,94.5932914500177,1.5666666666666664,3,2.9,0.0,0.0,0.0,1.2750005,1.0750004999999998,2.15,2.15,1.6985294117647058
20230820,2324,Strasbourg,94.44534412955464,1.275,2,3.275,0.0,0.0,0.0,0.0,1.2750005,0.0,4.0,1.2413793103448276
20230813,2324,Strasbourg,94.15384615384613,2.55,1,2.55,0.0,0.0,0.0,0.0,0.0,2.55,2.55,1.492682926829268
20240519,2324,Lille,94.89366624690842,0.8602941176470589,34,2.205,1.1940001,1.0520002,1.2200003333333334,0.9550004999999999,0.9550004999999999,0.0,1.65,2.2222222222222223
20240512,2324,Lille,94.89979143164366,0.8863636363636364,33,2.2218181818181817,1.0030001,1.0700002,0.5833336666666666,0.8750005000000001,0.9550004999999999,1.91,1.91,1.8666666666666667
20240506,2324,Lille,94.91527752200257,0.854375,32,2.2315625,1.1560001,1.4800001999999999,1.116667,0.8750005000000001,0.8750005000000001,0.0,1.91,1.9000000000000001
20240428,2324,Lille,94.90450118942132,0.8819354838709678,31,2.241935483870967,0.9810000999999999,1.1300002,1.2000003333333333,0.8000005,0.8750005000000001,1.75,1.75,2.0454545454545454
20240424,2324,Lille,94.92427198755173,0.853,30,2.258333333333333,1.1210001,1.1300002,1.8833336666666667,1.8000005,0.8000005,0.0,3.0,1.3846153846153846
20240421,2324,Lille,94.93073508694098,0.8824137931034483,29,2.232758620689655,0.9610001,1.3360002,1.3500003333333332,2.0250005,1.8000005,1.6,1.6,2.358974358974359
20240405,2324,Lille,94.91623321273292,0.8567857142857143,28,2.2553571428571426,0.9010001,0.9360002,0.6833336666666666,1.0250005,2.0250005,2.0,2.0,1.7832167832167831
